package.manager,number.citations.per.year,actual.commands.in.manual,executed.commands,undoc.commands,AIT,time,easy.flag,example.provided
Other,24.20,N/A,7,N/A,Fail,120,Not.installed,Y
Bioconductor,26.57,2,1,0.5,Fail,5,Easy,N
Other,28.50,N/A,29,N/A,Fail,120,Not.installed,N
Other,30.75,7,3,0.6,Fail,120,Complex,Y
Other,33.45,3,3,0.0,Pass,5,Easy,Y
Bioconductor,36.00,23,2,0.9,Fail,120,Complex,Y
BitBucket,36.25,30,10,0.7,Fail,120,Complex,Y
Other,39.00,3,3,0.0,Pass,5,Easy,Y
Other,39.10,12,12,0.0,Pass,15,Easy,Y
Other,43.00,5,1,0.8,Fail,120,Complex,Y
Other,47.13,N/A,2,N/A,N/A,5,Not.installed,N
Bioconda,57.20,1,1,0.0,Pass,5,Easy,Y
Bioconductor,57.83,2,2,0.0,Pass,5,Easy,Y
Bioconda,60.30,1,1,0.0,Pass,5,Easy,Y
pip,73.17,12,10,0.2,Fail,60,Complex,Y
Github,75.71,1,1,0.0,Pass,5,Easy,N
SourceForge,76.30,1,1,0.0,Pass,5,Easy,Y
Bioconda,124.00,1,1,0.0,Pass,5,Easy,Y
Other,124.10,1,1,0.0,Pass,5,Easy,N
Bioconductor,159.00,20,2,0.9,Fail,60,Complex,Y
Bioconda,163.20,1,1,0.0,Pass,5,Easy,Y
Other,169.22,2,2,0.0,Pass,5,Easy,Y
Github,216.33,12,3,0.8,Fail,30,Complex,Y
Bioconda,247.40,1,1,0.0,Pass,5,Easy,Y
Other,683.11,2,2,0.0,Pass,5,Easy,Y
Github,798.40,3,2,0.3,Fail,5,Easy,Y
Other,1059.00,10,7,0.3,Fail,60,Complex,Y
Bioconda,1122.60,1,1,0.0,Pass,5,Easy,Y
Bioconda,1450.90,3,3,0.0,Pass,5,Complex,Y
